hash,source,index_name,index_params_type,index_params_m,index_params_ef_construction,query_params_k,query_params_rescore_vector_oversample,sample_size,average_recall,recall_std,index_params_cluster_size,query_params_visit_percentage
c626a9463f40bd223fb49f7fbb8e6aeb135ceba8240f955cdf28ffab3dfffcb6,corpus-fashion-mnist,corpus-fashion-mnist_hnsw_8_100_none,hnsw,8.0,100.0,10,1.0,,0.9944,0.028436596139481952,,
f31d56660fbac5e0b7996e34e76d35d27b7c51ef6838b3d9ef4857a73481de69,corpus-fashion-mnist,corpus-fashion-mnist_hnsw_8_100_none,hnsw,8.0,100.0,10,1.5,,0.9944,0.028436596139481952,,
7544a5d8908842b8d9a1a4d74d68634d156c6f22a9e4a63d5f992baeac3baef4,corpus-fashion-mnist,corpus-fashion-mnist_hnsw_8_100_none,hnsw,8.0,100.0,10,2.0,,0.9944,0.028436596139481952,,
6962af3148d8cde24f2cc62a5a84eb441a02a0e388e0480adba7d5991a7a3c0d,corpus-fashion-mnist,corpus-fashion-mnist_hnsw_8_100_none,hnsw,8.0,100.0,10,2.5,,0.9944,0.028436596139481952,,
7e013d583a54019ad5b8da1b6fe400244ecaa95c6da70f5ac1fbfa9f4cc90e1d,corpus-fashion-mnist,corpus-fashion-mnist_hnsw_8_100_none,hnsw,8.0,100.0,10,3.0,,0.9944,0.028436596139481952,,
0288a941d020e692672f6c25bfd49a6490be9e5996c7b8cc8fd879e7ffe76a38,corpus-fashion-mnist,corpus-fashion-mnist_hnsw_8_100_none,hnsw,8.0,100.0,10,4.0,,0.9944,0.028436596139481952,,
c073eb7f591ab37a755dfab5cc2589aedb87169c99d573a6f51bccc892de98c0,corpus-fashion-mnist,corpus-fashion-mnist_hnsw_8_100_none,hnsw,8.0,100.0,10,5.0,,0.9944,0.028436596139481952,,
241908c5bc1d5bd2248098c6fbe77e2def382206f332eeead896bc11bc474822,corpus-fashion-mnist,corpus-fashion-mnist_hnsw_8_100_none,hnsw,8.0,100.0,10,7.5,,0.9944,0.028436596139481952,,
b82c39c7068ca609f798cf488ea8650acc01ac150eb77c7c8dbbaf593d964a7d,corpus-fashion-mnist,corpus-fashion-mnist_hnsw_8_100_none,hnsw,8.0,100.0,10,10.0,,0.9944,0.028436596139481952,,
99f2023792ba9fc598185cd2f561ec18c90d4e085f09b8df706fec006d7ff846,corpus-fashion-mnist,corpus-fashion-mnist_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,1.0,2000.0,0.9886,0.0690654761802161,,
b7f9373eaa371ee3af7a9400ce62ce7509d429855dc1ee471c032cd1f166a565,corpus-fashion-mnist,corpus-fashion-mnist_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,1.5,2000.0,0.9886,0.0690654761802161,,
2b8d19fb1667985b59a1ee144b27358783cac95d783b8e05b0cf5c2f5c99bc43,corpus-fashion-mnist,corpus-fashion-mnist_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,2.0,2000.0,0.9886,0.0690654761802161,,
7e6bb9b26bca0fe9a209bfe19a4b3f069455ad3078cf2971b5f2a23fb5e1d1ca,corpus-fashion-mnist,corpus-fashion-mnist_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,2.5,2000.0,0.9886,0.0690654761802161,,
d39a99322b75d0d900f53a524c05150f46cbea4a3ab0308e7ac0f039d634bdf8,corpus-fashion-mnist,corpus-fashion-mnist_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,3.0,2000.0,0.9886,0.0690654761802161,,
49496ce44de2155943858b3cff0b2eb48d491b706fcc9beb631901b134328257,corpus-fashion-mnist,corpus-fashion-mnist_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,4.0,2000.0,0.9886,0.0690654761802161,,
f545fc5d4f446a04595a90e2112a0fb68c591bd23ab8000f94462f2154ee29ca,corpus-fashion-mnist,corpus-fashion-mnist_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,5.0,2000.0,0.9886,0.0690654761802161,,
7e550da36dc8ef97fdd48a231d286c52ef6dc175b34ed9d1055c5729988f3904,corpus-fashion-mnist,corpus-fashion-mnist_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,7.5,2000.0,0.9886,0.0690654761802161,,
7d7cf9625b2c42aa05d4842f7ea417eecfd1d9272d3ff12c41214138c90e3ee7,corpus-fashion-mnist,corpus-fashion-mnist_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,10.0,2000.0,0.9886,0.0690654761802161,,
eaa6553918acf3c67c23ed77b26355fcda6233cf9c896a83a7db1b734bfb8419,corpus-fashion-mnist,corpus-fashion-mnist_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,1.0,4000.0,0.9997999999999999,0.004467661580737734,,
17d157b98fb2854a3448508761f4a35483901433e83d000248924683b57d62ef,corpus-fashion-mnist,corpus-fashion-mnist_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,1.5,4000.0,0.9997999999999999,0.004467661580737734,,
9dd2bc5edbf349a9dbc9a75ecaad94ae3e3dcfccb512e7ceb38d488a4e826888,corpus-fashion-mnist,corpus-fashion-mnist_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,2.0,4000.0,0.9997999999999999,0.004467661580737734,,
d29dff15e8c4e93daa81f153c55139ff5f3e55830667eeb1391b5b6d2397e3a0,corpus-fashion-mnist,corpus-fashion-mnist_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,2.5,4000.0,0.9997999999999999,0.004467661580737734,,
6941e798f18889e4291dac9616f1c32736764a81a601cecbab099935fe9aa59d,corpus-fashion-mnist,corpus-fashion-mnist_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,3.0,4000.0,0.9997999999999999,0.004467661580737734,,
01f5499df9c9666f3334f9d0fd481afc079617b9b6cf7a7aeba6c85efdbee850,corpus-fashion-mnist,corpus-fashion-mnist_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,4.0,4000.0,0.9997999999999999,0.004467661580737734,,
3263890ea56850e3e7dab3fac8d47f8b9dbcfcecef09df0ec71782ced63258c7,corpus-fashion-mnist,corpus-fashion-mnist_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,5.0,4000.0,0.9997999999999999,0.004467661580737734,,
dbcd2106f9fda9e9fd0a2296f6e5dfa05041d2f8d7d8b63afb65c5811ef48acc,corpus-fashion-mnist,corpus-fashion-mnist_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,7.5,4000.0,0.9997999999999999,0.004467661580737734,,
cca77bc297b41cb3dcec00fcb74514de324bcf8563f438ebbf196c16089ddecd,corpus-fashion-mnist,corpus-fashion-mnist_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,10.0,4000.0,0.9997999999999999,0.004467661580737734,,
71bf2b46e2040f24baaa496038fb1bee612c34ccc38ccbaded82abe903c391e4,corpus-fashion-mnist,corpus-fashion-mnist_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,1.0,8000.0,0.9987999999999999,0.01259206099095775,,
