hash,index_name,index_params_type,index_params_m,index_params_ef_construction,query_params_k,query_params_rescore_vector_oversample,sample_size,average_recall,recall_std,index_params_cluster_size,query_params_visit_percentage
11b82b7b98d7a8f5482a072309830c70ac18d2399fcfc784cc0aa9727713c320,corpus-fiqa-arctic-0_hnsw_8_100_none,hnsw,8.0,100.0,10,1.0,,0.9132,0.1372069969061345,,
6a78b47266ce9497e18aa94029f84376b488736915d0247075749907a9cbdbf4,corpus-fiqa-arctic-0_hnsw_8_100_none,hnsw,8.0,100.0,10,1.5,,0.9132,0.1372069969061345,,
3d5ba868e53d349de36cc10246e4676934a1d503a525725c25ac21bdea07922d,corpus-fiqa-arctic-0_hnsw_8_100_none,hnsw,8.0,100.0,10,2.0,,0.9132,0.1372069969061345,,
6e526fddd57b1292bfee9b087152237134725e40e2d0ad8f190fbae7941e5740,corpus-fiqa-arctic-0_hnsw_8_100_none,hnsw,8.0,100.0,10,2.5,,0.9132,0.1372069969061345,,
05063a94d0c722ff67154bc8dd77282b6b259543631e513549800eb2de515a82,corpus-fiqa-arctic-0_hnsw_8_100_none,hnsw,8.0,100.0,10,3.0,,0.9132,0.1372069969061345,,
b8b801a8b380b67dc4feb96690c61f248434159fdb9802d630455bb4ac80c493,corpus-fiqa-arctic-0_hnsw_8_100_none,hnsw,8.0,100.0,10,4.0,,0.9132,0.1372069969061345,,
9b9f1acf108584056c4f03b7873e8800c07edc2103116b140224da24d643876a,corpus-fiqa-arctic-0_hnsw_8_100_none,hnsw,8.0,100.0,10,5.0,,0.9132,0.1372069969061345,,
12e7929a61616094ee25fb625f9bb7b2689e5cf455f0ec66ee66962121692a28,corpus-fiqa-arctic-0_hnsw_8_100_none,hnsw,8.0,100.0,10,7.5,,0.9132,0.1372069969061345,,
c835badb23fed8a9d00e773959ba079811ce652d29f9429ba8e71fba66b5b2ce,corpus-fiqa-arctic-0_hnsw_8_100_none,hnsw,8.0,100.0,10,10.0,,0.9132,0.1372069969061345,,
a49e823ce68c65921286ffb6ffbec32f0003d547b76f249f17a15b48de245623,corpus-fiqa-arctic-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,1.0,2000.0,0.9796,0.05782594573372751,,
957159e35706287ba1f3989f925b3a879ee6c85c4f5a562d331c9cf302c155a8,corpus-fiqa-arctic-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,1.5,2000.0,0.9796,0.05782594573372751,,
6cb31d52f99ce23262cb9ac003d38e749f81ab09d673d7c9a83689703f665b9d,corpus-fiqa-arctic-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,2.0,2000.0,0.9796,0.05782594573372751,,
f69243f77cbb2303d0acb7fea675bfed70f4ebaea88322d7db879982fd7f76aa,corpus-fiqa-arctic-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,2.5,2000.0,0.9796,0.05782594573372751,,
3437aaed62d41aaae94b0ddc8988b2d40f6d648b8d2e115b79e436892d10c7ea,corpus-fiqa-arctic-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,3.0,2000.0,0.9796,0.05782594573372751,,
b6c5fc16b0da7d3f5f4cc4cc64c297050d8e29fd4b799af123342d663608d3a6,corpus-fiqa-arctic-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,4.0,2000.0,0.9796,0.05782594573372751,,
e3509ca5fc81c069b3a83a759c94752a91af9e867bebfa5c51a87b808ce40c85,corpus-fiqa-arctic-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,5.0,2000.0,0.9796,0.05782594573372751,,
f4a3583e69445bbbf162ad2204856d418e2e87a4b536ee99c7eed916cc0ad155,corpus-fiqa-arctic-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,7.5,2000.0,0.9796,0.05782594573372751,,
a0c2baad4f096053f0050563925e7a73523bbd95ae85e77e5c695a75efcc4811,corpus-fiqa-arctic-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,10.0,2000.0,0.9796,0.05782594573372751,,
cb486bddfad471ab14311ab03c43532a2dc8f5c60a4f827c486d184d05c9050c,corpus-fiqa-arctic-0_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,1.0,4000.0,0.9238000000000001,0.11495025010847085,,
477763a4f7fae8d9e32d9bc93e75fd27fa168e99e87b8265ad15a511a4031518,corpus-fiqa-arctic-0_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,1.5,4000.0,0.9238000000000001,0.11495025010847085,,
