hash,index_name,index_params_type,index_params_m,index_params_ef_construction,query_params_k,query_params_rescore_vector,sample_size,average_recall,index_params_cluster_size,query_params_visit_percentage
8309211bdc9c918a9713b32bd2715a8bf329225365f8b13214f8c19bbc739257,corpus-fiqa-gte-base-0_hnsw_8_100_none,hnsw,8.0,100.0,10,{'oversample': 1.0},,0.9509999999999983,,
459d1cd66bf2ad71384063cfb37a8918f94b05615f157cb85001f6af0f193d10,corpus-fiqa-gte-base-0_hnsw_8_100_none,hnsw,8.0,100.0,10,{'oversample': 1.5},,0.9509999999999983,,
6ab7ac55844ee0fbe9b2dfb71d8fb837cc25e4fb973073f5dcb0d9e9619d7fba,corpus-fiqa-gte-base-0_hnsw_8_100_none,hnsw,8.0,100.0,10,{'oversample': 2.0},,0.9509999999999983,,
08582e8686e595fd39489350e7081f4a60800f058555cba46f32729e1cfd3ba0,corpus-fiqa-gte-base-0_hnsw_8_100_none,hnsw,8.0,100.0,10,{'oversample': 2.5},,0.9509999999999983,,
dc16bc0af272cdabfca4b8f98ab4ede38548c8e0e1844b434b56aef4e450b883,corpus-fiqa-gte-base-0_hnsw_8_100_none,hnsw,8.0,100.0,10,{'oversample': 3.0},,0.9509999999999983,,
729fe17d4051dfac5904c1052a5eb952cabb9f9f10688eea067d1bde87cfeec8,corpus-fiqa-gte-base-0_hnsw_8_100_none,hnsw,8.0,100.0,10,{'oversample': 4.0},,0.9509999999999983,,
fa51068067a1f37771cd340a28582626779118a300ad0af0e4830a238e13c0c9,corpus-fiqa-gte-base-0_hnsw_8_100_none,hnsw,8.0,100.0,10,{'oversample': 5.0},,0.9509999999999983,,
db5939751244ae8581f969d49ca04aa9520d953870a6245572278524c78c5428,corpus-fiqa-gte-base-0_hnsw_8_100_none,hnsw,8.0,100.0,10,{'oversample': 7.5},,0.9509999999999983,,
de9eae2aa91bcda2b0980b6f4dca207b2814e098bf0948ecde9e7145fc07c0d1,corpus-fiqa-gte-base-0_hnsw_8_100_none,hnsw,8.0,100.0,10,{'oversample': 10.0},,0.9509999999999983,,
42eed311a8c9d0a8fcd97d1ff7a6fac7597de11ff0ab63f3c0652ca2ca5eaea9,corpus-fiqa-gte-base-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,{'oversample': 1.0},2000.0,0.9889999999999995,,
97e04c0305595a75557bf5e9650359df255476e322a2aff2437ac9dc0abeb3e4,corpus-fiqa-gte-base-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,{'oversample': 1.5},2000.0,0.9889999999999995,,
7acc7188e572f650c572a498b9b99632a7851364647b6b5594201526fa396483,corpus-fiqa-gte-base-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,{'oversample': 2.0},2000.0,0.9889999999999995,,
5ed93a8cc288b8a736213c1664942f808ccef28037ea76e6e29dc13fb13bf989,corpus-fiqa-gte-base-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,{'oversample': 2.5},2000.0,0.9889999999999995,,
8b12c38b2d87c61d604f8b03323dfeabe19b1b63b80a203bc142872165d26988,corpus-fiqa-gte-base-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,{'oversample': 3.0},2000.0,0.9889999999999995,,
7d58af4a4ed3609739ad58b21c733453ad236792a5747184c0dfa6aec3321eda,corpus-fiqa-gte-base-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,{'oversample': 4.0},2000.0,0.9889999999999995,,
