hash,index_name,index_params_type,index_params_m,index_params_ef_construction,query_params_k,query_params_rescore_vector,sample_size,average_recall,query_params_rescore_vector_oversample,recall_std,index_params_cluster_size,query_params_visit_percentage
6c9df27551ff126e35a7452ec7eafed98882f2efea375902a2142c8ea7e88017,corpus-quora-arctic-0_hnsw_8_100_none,hnsw,8.0,100.0,10,{'oversample': 1.0},,0.9157999999999994,,,,
8ecaaac8aa61f83182260d17f3379a44cf6a207a5029282f4546f5c3d7dfe8bd,corpus-quora-arctic-0_hnsw_8_100_none,hnsw,8.0,100.0,10,{'oversample': 1.5},,0.9157999999999994,,,,
ef1230b47106dd3a99275e2a6e5badbb39d229f175626ec8ce1dc47ab4e8468a,corpus-quora-arctic-0_hnsw_8_100_none,hnsw,8.0,100.0,10,{'oversample': 2.0},,0.9157999999999994,,,,
4d09d0685430ef10769b920b86153dbe6399d06f55a5ede18df06bc47d0c4bfd,corpus-quora-arctic-0_hnsw_8_100_none,hnsw,8.0,100.0,10,{'oversample': 2.5},,0.9157999999999994,,,,
d8f19f23303e67552b86aa3b2eb1f41515ea26429d5fb76c5eac27b45c550ee1,corpus-quora-arctic-0_hnsw_8_100_none,hnsw,8.0,100.0,10,{'oversample': 3.0},,0.9157999999999994,,,,
b923389692001cdbc4f8ba0e28396dc653890db04c06e684e9dd227fc8ebf68c,corpus-quora-arctic-0_hnsw_8_100_none,hnsw,8.0,100.0,10,{'oversample': 4.0},,0.9157999999999994,,,,
82309e98bce20135ce5f6893893c2aeda4dae9115b23b7a288c125792f0a00e0,corpus-quora-arctic-0_hnsw_8_100_none,hnsw,8.0,100.0,10,{'oversample': 5.0},,0.9157999999999994,,,,
8c87d120eec908f7177561bc7df69136f6cce59df0ae4d8e85af15ce293fa36c,corpus-quora-arctic-0_hnsw_8_100_none,hnsw,8.0,100.0,10,{'oversample': 7.5},,0.9157999999999994,,,,
316c78d65e52c737874cef0662b59ef15c7d3163b34a4800aa62e550f5a0a247,corpus-quora-arctic-0_hnsw_8_100_none,hnsw,8.0,100.0,10,{'oversample': 10.0},,0.9157999999999994,,,,
e17edc0e9152d910f1f6146562639ab8093b8cea5f73e735af57205aee225805,corpus-quora-arctic-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,{'oversample': 1.0},2000.0,0.9277999999999988,,,,
bdc8dba66eb3b1830e976d5846b123d1b25fe85619c713a1fa54d7798607ece8,corpus-quora-arctic-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,{'oversample': 1.5},2000.0,0.9277999999999988,,,,
eec2575cfa9dd0c3e94cf3a6908309209b5162019be9c29ed659194a63920cdb,corpus-quora-arctic-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,{'oversample': 2.0},2000.0,0.9277999999999988,,,,
fbc4ce5072bbf3a36f3f17b2d4036ecb2da373c71be63d24633d2f42a36fa493,corpus-quora-arctic-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,{'oversample': 2.5},2000.0,0.9277999999999988,,,,
1a28ab57c822836164af008b5cc5b4ebb4bab74ff00ee8ed7672ca9220c3c618,corpus-quora-arctic-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,{'oversample': 3.0},2000.0,0.9277999999999988,,,,
d41d02eabfc8a7076171a5ff9f06ed9321e9593dec318cb6d5928e28d79b8ed1,corpus-quora-arctic-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,{'oversample': 4.0},2000.0,0.9277999999999988,,,,
9a97d522bd2c25c4f9c8634232a7050a1199ac6cdf191fa9931bac3f87ec43b3,corpus-quora-arctic-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,{'oversample': 5.0},2000.0,0.9277999999999988,,,,
156a3e00ae1fc5c3876979061bd1cb66fbfc2d13150af85030e6d2511bba232c,corpus-quora-arctic-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,{'oversample': 7.5},2000.0,0.9277999999999988,,,,
313286e164aae4479eb5031025311e11aaa9f76ee278dcabbd3679552e92def2,corpus-quora-arctic-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,{'oversample': 10.0},2000.0,0.9277999999999988,,,,
a3693bc37772740821a513c59460b7330d77f60e8d34853268c29b8229b1f57c,corpus-quora-arctic-0_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,{'oversample': 1.0},4000.0,0.9831999999999992,,,,
23835a11010c1879534912fc51ca76aa3f83241647d282f51676b57c5b09783c,corpus-quora-arctic-0_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,{'oversample': 1.5},4000.0,0.9831999999999992,,,,
f87c598ffb0cd1b0e0139328740160360e620b272aa8d0a1aa943721bfd165fd,corpus-quora-arctic-0_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,{'oversample': 2.0},4000.0,0.9831999999999992,,,,
7a1895756148902097d5d6bf81bfb9d1505224682c09c83f4e5d5fedf14c3732,corpus-quora-arctic-0_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,{'oversample': 2.5},4000.0,0.9831999999999992,,,,
16f17664ed15895d39b96d531bc91e22f1a15c9b6b5cd8d2ce5dceb9c4ac8417,corpus-quora-arctic-0_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,{'oversample': 3.0},4000.0,0.9831999999999992,,,,
38da1d7baa4ef2e54736dbd56316e07bc2d1bdc70968314fa4c0084d23f63c56,corpus-quora-arctic-0_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,{'oversample': 4.0},4000.0,0.9831999999999992,,,,
c47a0b49a0765dce941f560f6446bb123ff96de0d6c7e22e6a12c91f0d512e0a,corpus-quora-arctic-0_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,{'oversample': 5.0},4000.0,0.9831999999999992,,,,
02109290c87abe9ed92f00888bf5a3a1fa52755fe053153fe71dc4886c37b9f5,corpus-quora-arctic-0_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,{'oversample': 7.5},4000.0,0.9831999999999992,,,,
ef04570319c10d0b8281f845e3137accff9d3c79ed7a0d4469d2146f83dd2486,corpus-quora-arctic-0_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,{'oversample': 10.0},4000.0,0.9831999999999992,,,,
195b2db0ea1d57d2bcebde2215b855a5504f413be8627c4d71111b8aaeeafb0a,corpus-quora-arctic-0_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,{'oversample': 1.0},8000.0,0.9811999999999984,,,,
844fb52c79fce0d0173ab9db919845684efbc3f5711d4e7a456347cbfdae1e6a,corpus-quora-arctic-0_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,{'oversample': 1.5},8000.0,0.9811999999999984,,,,
593b8dfbd7ee09fead7d05fb2fed12abc0f1aaa32fa147e972bd848e6623f05c,corpus-quora-arctic-0_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,{'oversample': 2.0},8000.0,0.9811999999999984,,,,
6dedbdcba613ae0d30664b333916c3567488a580bfa1d25d8de94014ce226450,corpus-quora-arctic-0_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,{'oversample': 2.5},8000.0,0.9811999999999984,,,,
3e1515248e3a10c81fa39f8461c549fd5e2de6a9b1a436318ca84cb30acffa6b,corpus-quora-arctic-0_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,{'oversample': 3.0},8000.0,0.9811999999999984,,,,
9f5096a519df46b8223b169568e9aef88a91c9fcd90fa8065b0c8a1e1cf2e2f6,corpus-quora-arctic-0_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,{'oversample': 4.0},8000.0,0.9811999999999984,,,,
a39728f36f213449a543b92f722f5bdee1739cab5c7263f06fab5b280e9517b1,corpus-quora-arctic-0_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,{'oversample': 5.0},8000.0,0.9811999999999984,,,,
3d0aa3596251a4f77b6dc15435377b696690264e24b253e5ff5ea682e5e28d09,corpus-quora-arctic-0_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,{'oversample': 7.5},8000.0,0.9811999999999984,,,,
f76b14baed6e185dca0b2e77acc89a78f530a41ba98cf0cf87977474f822ec01,corpus-quora-arctic-0_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,{'oversample': 10.0},8000.0,0.9811999999999984,,,,
3eb65cbfa05c6a27dcaaca71c917ce0c413395a68444f50e8d6601eba525d83b,corpus-quora-arctic-0_hnsw_8_100_none_16000,hnsw,8.0,100.0,10,{'oversample': 1.0},16000.0,0.978599999999999,,,,
b26093d588386b61bbbe2bed153dc42a58f5a857a87d6bb51f608d051432fe49,corpus-quora-arctic-0_hnsw_8_100_none_16000,hnsw,8.0,100.0,10,{'oversample': 1.5},16000.0,0.978599999999999,,,,
73789aac56802ec0500c359dc0523d62ea81b08e0f68e1674ac92ca7442c248a,corpus-quora-arctic-0_hnsw_8_100_none_16000,hnsw,8.0,100.0,10,{'oversample': 2.0},16000.0,0.978599999999999,,,,
a16114c68f87ef64ad41b64fbeebdbb88f4fd595fa57039c5d02866c0712558f,corpus-quora-arctic-0_hnsw_8_100_none_16000,hnsw,8.0,100.0,10,{'oversample': 2.5},16000.0,0.978599999999999,,,,
8fb38e1bf83cc99ec03c1f4a2535d6ef4843dce8320f22e3ae32f81d1216a051,corpus-quora-arctic-0_hnsw_8_100_none_16000,hnsw,8.0,100.0,10,{'oversample': 3.0},16000.0,0.978599999999999,,,,
