hash,source,index_name,index_params_type,index_params_m,index_params_ef_construction,query_params_k,query_params_rescore_vector_oversample,sample_size,average_recall,recall_std,index_params_cluster_size,query_params_visit_percentage
243a3679d38dac3e60df7551ef19d58f545603eb5edcc5edcadeee9aa2f41cec,corpus-quora-gte-base,corpus-quora-gte-base-0_hnsw_8_100_none,hnsw,8.0,100.0,10,1.0,,0.9087999999999999,0.15786880629180672,,
f1c76992479bae706a45599a6f0db1d65d85de465560f55d5dcac83c66232560,corpus-quora-gte-base,corpus-quora-gte-base-0_hnsw_8_100_none,hnsw,8.0,100.0,10,1.5,,0.9087999999999999,0.15786880629180672,,
12ada075c1f34e48c94584f005e87dbc2bc09feeb666bfa10880370aa7421207,corpus-quora-gte-base,corpus-quora-gte-base-0_hnsw_8_100_none,hnsw,8.0,100.0,10,2.0,,0.9087999999999999,0.15786880629180672,,
7ab734392f839c094ee59dcb0e8ca89afbf3df9e5cb552657d4841e033974394,corpus-quora-gte-base,corpus-quora-gte-base-0_hnsw_8_100_none,hnsw,8.0,100.0,10,2.5,,0.9087999999999999,0.15786880629180672,,
a0ad7be32be14cb08155a181fd6865f853fa98024930c4f6386c59e340780ec5,corpus-quora-gte-base,corpus-quora-gte-base-0_hnsw_8_100_none,hnsw,8.0,100.0,10,3.0,,0.9087999999999999,0.15786880629180672,,
33a501c936faeca4e0b4fb0fb5ca0fad5424825986cdee77d097fcc6356e99b7,corpus-quora-gte-base,corpus-quora-gte-base-0_hnsw_8_100_none,hnsw,8.0,100.0,10,4.0,,0.9087999999999999,0.15786880629180672,,
65d02a19e505e7ce52249fe61c7ece40b067748ea8ec9aec472fc04bc17f73cc,corpus-quora-gte-base,corpus-quora-gte-base-0_hnsw_8_100_none,hnsw,8.0,100.0,10,5.0,,0.9087999999999999,0.15786880629180672,,
593445be48bc05ba6d97dff28964c738e404fc0b9e2a35c9c6b7151c0903a636,corpus-quora-gte-base,corpus-quora-gte-base-0_hnsw_8_100_none,hnsw,8.0,100.0,10,7.5,,0.9087999999999999,0.15786880629180672,,
b9699a0c57b0eeeaed750303d61f26bc1d3c24de624fd455fbf6abcca061a8d9,corpus-quora-gte-base,corpus-quora-gte-base-0_hnsw_8_100_none,hnsw,8.0,100.0,10,10.0,,0.9087999999999999,0.15786880629180672,,
666cc280d57aa253b2957acbd3d6ba53c5f63494ed3ae850aadbc6b6cc8423b1,corpus-quora-gte-base,corpus-quora-gte-base-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,1.0,2000.0,0.8914000000000001,0.14009296913121658,,
57dec6e781f5e4dc407467ada673ab3d5d112369eb34d8e3ee5602e47889af23,corpus-quora-gte-base,corpus-quora-gte-base-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,1.5,2000.0,0.8914000000000001,0.14009296913121658,,
ebe1c5f5a51b335aacc7992ecebb76fd59f11bd51748cb589f517da8931cca01,corpus-quora-gte-base,corpus-quora-gte-base-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,2.0,2000.0,0.8914000000000001,0.14009296913121658,,
4e5812b103aecf42920a116d0008e589d4e772e3a72b8b0633bf6436160e1554,corpus-quora-gte-base,corpus-quora-gte-base-0_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,2.5,2000.0,0.8914000000000001,0.14009296913121658,,
