hash,source,index_name,index_params_type,index_params_m,index_params_ef_construction,query_params_k,query_params_rescore_vector_oversample,sample_size,average_recall,recall_std,index_params_cluster_size,query_params_visit_percentage
94a5c876756edeebe621acd3323df586ffa3f245a31a3f2b206579d7deab8561,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none,hnsw,8.0,100.0,10,1.0,,0.86,0.237823463939116,,
6b63e7b14c5fa74959689a95ce2cab930af8a42fda69196b1efd62b757876a19,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none,hnsw,8.0,100.0,10,1.5,,0.86,0.237823463939116,,
e8149c92c11d066e7fc25bfdc1a3e037d037d761fefce0e65c53370f317fb01d,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none,hnsw,8.0,100.0,10,2.0,,0.86,0.237823463939116,,
0ddf3c83908d97569c2189b83f148024182f3c33d8e456818eeaeeb1afe641a5,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none,hnsw,8.0,100.0,10,2.5,,0.86,0.237823463939116,,
1e1ed6899ae01c259333eb7ce20912a622620cc5a762b69a57a246261faded3b,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none,hnsw,8.0,100.0,10,3.0,,0.86,0.237823463939116,,
8f97271509e6e84ce00e10e3859856082f662fe31aadd428f7535d8fc03b1312,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none,hnsw,8.0,100.0,10,4.0,,0.86,0.237823463939116,,
f5e5a453d2cd85fe830d46e4ef89a173a5edc8e014ac2db0989235f72011f7d4,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none,hnsw,8.0,100.0,10,5.0,,0.86,0.237823463939116,,
70d4db63efecbaf7d1c93ab8fb94c89eb510fe0250a9882efa3823b68587b135,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none,hnsw,8.0,100.0,10,7.5,,0.86,0.237823463939116,,
3a370bbc3e203d7ac269cea733fd8ef6a8820c6d2a4b3e3767f88ed05e67e996,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none,hnsw,8.0,100.0,10,10.0,,0.86,0.237823463939116,,
23a16e2511a42293e977a5b5de3f99eda7de15a302d2f572cfd92fd7859a2787,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,1.0,2000.0,0.8534,0.1408844916944374,,
ced150080801ed727ef505aa71957c7f584ed1383721fbb6b14f9cf4d2435744,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,1.5,2000.0,0.8534,0.1408844916944374,,
5258cec6c4bfa3464eb02ce84f43c7f8686a9b62b1e82f4121faa1da39e6f862,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,2.0,2000.0,0.8534,0.1408844916944374,,
e1eea4a70a8232fec7f2f13b0512800671af0e67f3d64aa1be891633630f6423,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,2.5,2000.0,0.8534,0.1408844916944374,,
f00a5d1b766ed36e98050279fe1180a163dcdf487a73fe1e2b0e080021558b5d,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,3.0,2000.0,0.8534,0.1408844916944374,,
b3f1314f977d26cd90e19babea586c531b05f63a51ec707da174edcd9cbeefbf,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,4.0,2000.0,0.8534,0.1408844916944374,,
f839b5ca829c8235f724307ae2e71aa6f0274e5fcabb9f32b53a8e61020f564d,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,5.0,2000.0,0.8534,0.1408844916944374,,
e465bddf72294f3cbee44add2eb4c660c2d9323b71563b5c07cfa8b6fc9bf6f2,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,7.5,2000.0,0.8534,0.1408844916944374,,
41dc009f01553567edfc713460ee9cd52d34a63b2306e870cc0a93d0d7dff2de,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_2000,hnsw,8.0,100.0,10,10.0,2000.0,0.8534,0.1408844916944374,,
76ff3cd73e1d3533aebd0002e7e66501e660466ee8dcff13c43a15bb375b3583,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,1.0,4000.0,0.9484000000000001,0.08612456095679094,,
059b80ddff3dde8495c31f77d80b94deeb59043579a2a8f5b58f0f3e35102a08,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,1.5,4000.0,0.9484000000000001,0.08612456095679094,,
ef4fad72a29b6ad906bc485d55d56c8aa7b3d33d59fb55c727d426a343f88245,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,2.0,4000.0,0.9484000000000001,0.08612456095679094,,
77b773ae46644bf2c2b2cf84f4c65ae0b4d82c143c3664c4d9932848fbf6164c,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,2.5,4000.0,0.9484000000000001,0.08612456095679094,,
d5e7af93711bb5ec7b9c1f6da807da1bc59c39136907cf9027e54b02417bfed2,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,3.0,4000.0,0.9484000000000001,0.08612456095679094,,
6ad753e6bbd403347c0915fdf24c5081f68fd1f92177319403bbdeea92cd5f24,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,4.0,4000.0,0.9484000000000001,0.08612456095679094,,
7ca8cca1b28af157c3487d2a9e28211b1e895ceacb9aacf22618c2b6edb8188a,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,5.0,4000.0,0.9484000000000001,0.08612456095679094,,
9f40753de8c3beb79e5c67c853903a6075925ec58155d0d038720737550230ee,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,7.5,4000.0,0.9484000000000001,0.08612456095679094,,
acc1dfdb6027c5f05ab959d7626845e0da096d6ce60786e1f239c18b1e582acc,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_4000,hnsw,8.0,100.0,10,10.0,4000.0,0.9484000000000001,0.08612456095679094,,
bce6f6f02dbf5f1a2f24aca49a261661edb7d87f443b2c17676d2267581282f7,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,1.0,8000.0,0.9354,0.09553449638743064,,
41df1877c33fb27db8819e809870209ff01e3a431b9d3dcbeee828b2407472bf,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,1.5,8000.0,0.9354,0.09553449638743064,,
76f5c4791905e611747a759076402ce0ae555a3d783ed9e96ecb8227ba847c98,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,2.0,8000.0,0.9354,0.09553449638743064,,
c942a9cb95cd7b9eee9e0acc0e3d347e73fc353a999e0c9f73c568742d8f5de5,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,2.5,8000.0,0.9354,0.09553449638743064,,
f8679a8aeedcfab47468d7b393ef9a5b0ef4e967a95297ddd127b6b3834b28ba,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,3.0,8000.0,0.9354,0.09553449638743064,,
c3b8da2c9349899a24016459048ea0166389aad6b0db0e7bfa0185301348748f,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,4.0,8000.0,0.9354,0.09553449638743064,,
be43bb966edbd6859cd9f43dc46c09987dd480260ba985efc019c6c5dfd6042c,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,5.0,8000.0,0.9354,0.09553449638743064,,
1084701a8c5da1dfc54769df783bacb72e69b43b8e42f0e57855d23fb5927708,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,7.5,8000.0,0.9354,0.09553449638743064,,
29fb11ebb444131c3801efc91420b576a3692b621f0dda9b98c361322970cc31,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_8000,hnsw,8.0,100.0,10,10.0,8000.0,0.9354,0.09553449638743064,,
d7ba595917c3560ff2295f3bcb50162b4872bfe3f1baba52492bcf987cfb4264,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_16000,hnsw,8.0,100.0,10,1.0,16000.0,0.9232,0.10593280889318472,,
a3b359fa8bf730cc93c1cfe4400b915dd1200b34ee43941e7614c7e7e4b9c0e5,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_16000,hnsw,8.0,100.0,10,1.5,16000.0,0.9232,0.10593280889318472,,
505ea28fe75215926d74c37f81a81f235ce54f26f41ee1d06e3c9b7c21238852,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_16000,hnsw,8.0,100.0,10,2.0,16000.0,0.9232,0.10593280889318472,,
2459d3dd42f52a6e661069ca833321d2e05c6729414b2faa7a4006a7e869f54d,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_16000,hnsw,8.0,100.0,10,2.5,16000.0,0.9232,0.10593280889318472,,
3ab2f585ac34feff981e8f2b8a9ea70103b5cb57ef5046e5bd34e27e3e62b8f9,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_16000,hnsw,8.0,100.0,10,3.0,16000.0,0.9232,0.10593280889318472,,
15bfb4c2bd9d9bf59f6845a396019d6ff5a990ce49e9ec9ab10bfac933eca4a1,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_16000,hnsw,8.0,100.0,10,4.0,16000.0,0.9232,0.10593280889318472,,
0a83ef41c078cfcbe6fa3cc273f95995ebbfb7f087c18fea5eb0d501b944c57e,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_16000,hnsw,8.0,100.0,10,5.0,16000.0,0.9232,0.10593280889318472,,
48fbda11cbc6f1eded95130ca78bba5ddc11b7dd73a6c314a3e7a4880cdff0f7,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_16000,hnsw,8.0,100.0,10,7.5,16000.0,0.9232,0.10593280889318472,,
de6b8c36aee96100d84b4fd986bac658bc85b23630485c007c9aa23268d69937,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_100_none_16000,hnsw,8.0,100.0,10,10.0,16000.0,0.9232,0.10593280889318472,,
79f817c10e35adf2897a6f415661c885f08ed52601867f21efa8bef5629fdf4d,corpus-wiki-cohere,corpus-wiki-cohere_hnsw_8_200_none,hnsw,8.0,200.0,10,1.0,,0.8906000000000001,0.21130934669342008,,
